Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Terminator Genisys,126,English,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",2015,"Science Fiction, Action, Thriller, Adventure","future, artificial intelligence (a.i.), saving the world, cyborg, killer robot, dystopia, time travel, sequel, robot, duringcreditsstinger, terminator","Matt Smith, Jason Clarke, Emilia Clarke, Arnold Schwarzenegger, Jai Courtney",Alan Taylor,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Paramount, Skydance Media, Annapurna Pictures",https://www.paramount.com/movies/terminator-genisys
Paul Blart: Mall Cop 2,94,English,"Security guard Paul Blart is headed to Las Vegas to attend a Security Guard Expo with his teenage daughter Maya before she departs for college. While at the convention, he inadvertently discovers a heist - and it's up to Blart to apprehend the criminals.",2015,"Action, Comedy, Family","shopping mall, las vegas, security guard","Eduardo Verástegui, Kevin James, Raini Rodriguez, Neal McDonough, Daniella Alonso",Andy Fickman,"Amazon Prime Video, Starz Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Columbia Pictures, Hey Eddie, LStar Capital, Sony Pictures, Happy Madison Productions, Broken Road Productions",Unknown
The Night Before,101,English,"In New York City for their annual tradition of Christmas Eve debauchery, three lifelong best friends set out to find the Holy Grail of Christmas parties since their yearly reunion might be coming to an end.",2015,"Comedy, Adventure, Fantasy","new york city, holiday, christmas party, male friendship, hanukkah, drugs, childhood friends, christmas music, christmas","Jillian Bell, Anthony Mackie, Joseph Gordon-Levitt, Lizzy Caplan, Seth Rogen",Jonathan Levine,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Sony Pictures, Good Universe, Point Grey Pictures, Columbia Pictures",https://www.facebook.com/NightBeforeMovie
The Big Short,131,English,The men who made millions from a global economic meltdown.,2015,"Comedy, Drama","based on novel or book, bank, fraud, wall street, biography, based on true story, finances, animated scene, historical fiction, loan, financial crisis, real estate, mortgage","Ryan Gosling, Finn Wittrock, John Magaro, Christian Bale, Steve Carell",Adam McKay,"fuboTV, MGM Plus Amazon Channel, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Hoopla, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Paramount, Regency Enterprises, Plan B Entertainment",http://www.thebigshortmovie.com
Trainwreck,125,English,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",2015,"Comedy, Romance","alcohol, surgeon, interview, romantic comedy, one-night stand, doctor, falling in love, nursing home, selfishness, intern, multiple sclerosis, serial dating, party girl, sleeping around, sick father, sister sister relationship, recreational drug use, movie theater, pattern, magazine writer, professional basketball player","Amy Schumer, Brie Larson, Bill Hader, LeBron James, Colin Quinn",Judd Apatow,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Apatow Productions,http://www.trainwreckmovie.com
Riley's First Date?,5,English,"Riley, now 12, who is hanging out with her parents at home when potential trouble comes knocking. Mom's and Dad's Emotions find themselves forced to deal with Riley going on her first ""date.""",2015,"Animation, Family","parent child relationship, rock music, boyfriend, first date, emotions, overprotective father, short film","Pete Docter, Ben Cox, Carlos Alazraqui, Diane Lane, Kyle MacLachlan",Josh Cooley,Disney Plus ,,,Pixar,Unknown
Mom's Friend,91,Korean,"Seong Soo, a twenty years old boy, decided to move to Seoul after being accepted into Seoul University. However, he was a victim of real estate scam. He then moves into his mother's friend's house. Moreover, it turns out that his mother's friend is a sexy self-employed mother and Seong Soo is attracted to her.",2015,"Drama, Romance",softcore,"Yeong Ah, Heo Ye-chang, Kim Woon, Hee-jeong, Ahn Min-sang",Myeong Seok Hwan,,,,Four Seasons of Younghwasa,Unknown
Point Break,113,English,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break"".",2015,"Action, Adventure, Crime, Thriller","undercover agent, undercover, fbi, extreme sports, remake","Luke Bracey, Ray Winstone, Max Thieriot, Teresa Palmer, Edgar Ramírez",Ericson Core,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Studio Babelsberg, Alcon Entertainment, DMG Entertainment, Taylor-Baldecchi-Wimmer Productions, Warner Bros. Pictures, Summit Entertainment, Cine Tirol, Eagle Pictures",https://www.facebook.com/PointBreakMovie
Descendants,112,English,"A present-day idyllic kingdom where the benevolent teenage son of King Adam and Queen Belle offers a chance of redemption for the troublemaking offspring of Disney's classic villains: Cruella De Vil (Carlos), Maleficent (Mal), the Evil Queen (Evie) and Jafar (Jay).",2015,"Family, Music, Adventure, Comedy, Fantasy, TV Movie","witch, high school, magic, fairy tale, villain, teen movie, fairy godmother, teenage protagonist, maleficent","Cameron Boyce, Sofia Carson, Dove Cameron, Booboo Stewart, Mitchell Hope",Kenny Ortega,"Disney Plus, fuboTV, DisneyNOW ","Amazon Video, Google Play Movies, YouTube, Vudu ",Amazon Video ,"Bad Angels Productions, Ltd., 5678 Productions",Unknown
Straight Outta Compton,147,English,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.",2015,"Drama, Music, History","drug dealer, police brutality, husband wife relationship, rap music, hip-hop, sibling relationship, aids, parent child relationship, gangster, rapper, ghetto, nightclub, assault, freedom of speech, protest, vandalism, recording contract, rags to riches, based on true story, terminal illness, road trip, feud, marijuana, gang, police chase, hospital, racism, los angeles, california, detroit, michigan, racial slur, wrongful arrest, death of brother, milwaukee wisconsin, police raid, police harassment, duringcreditsstinger, record company, music tour, 1980s, intimidation by police, los angeles riots, compton, california","Jason Mitchell, O'Shea Jackson Jr., Corey Hawkins, Neil Brown Jr., Aldis Hodge",F. Gary Gray,"Max, Max Amazon Channel, Cinemax Amazon Channel, Cinemax Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Broken Chair Flickz, Universal Pictures, Legendary Pictures, Cube Vision, Crucial Films, Circle of Confusion, Will Packer Productions, Xenon Pictures",http://www.straightouttacompton.com/
The Transporter Refueled,95,English,"The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this installment, he meets Anna and they attempt to take down a group of ruthless Russian human traffickers who also have kidnapped Frank’s father.",2015,"Action, Thriller, Crime","transporter, sequel, bank heist","Ed Skrein, Gabriella Wright, Loan Chabanol, Ray Stevenson, Tatiana Pajković",Camille Delamarre,"Netflix, Max Amazon Channel, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","EuropaCorp, TF1 Films Production, Fundamental Films, Canal+, OCS, TF1, TMC, Belga Films",Unknown
War Room,120,English,"The family-friendly movie explores the transformational role prayer plays in the lives of the Jordan family. Tony and Elizabeth Jordan, a middle-class couple who seemingly have it all – great jobs, a beautiful daughter, their dream home. But appearances can be deceiving. In reality, the Jordan’s marriage has become a war zone and their daughter is collateral damage. With the help of Miss Clara, an older, wiser woman, Elizabeth discovers she can start fighting for her family instead of against them. Through a newly energized faith, Elizabeth and Tony’s real enemy doesn’t have a prayer.",2015,Drama,"husband wife relationship, prayer, family relationships, closet, troubled marriage, marriage counselling, father daughter relationship, christian film, christian faith, independent film","Karen Abercrombie, T.C. Stallings, Alena Pitts, Tenae Downing, Priscilla C. Shirer",Alex Kendrick,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","FaithStep Films, Affirm Films, Provident Films, Red Sky Studios, TriStar Pictures",http://warroomthemovie.com/
Aloha,105,English,A celebrated military contractor returns to the site of his greatest career triumphs and re-connects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,2015,"Drama, Comedy, Romance","love triangle, hawaii, satellite, air force, military, duringcreditsstinger, communication","Rachel McAdams, Emma Stone, Bill Murray, John Krasinski, Bradley Cooper",Cameron Crowe,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Eros Now, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Vinyl Films, Scott Rudin Productions",Unknown
Tracers,94,English,"Wanted by the mafia, a New York City bike messenger escapes into the world of parkour after meeting a beautiful stranger.",2015,Action,"new york city, chinese mafia, parkour, loan shark, young adult","Taylor Lautner, Rafi Gavron, Adam Rayner, Sam Medina, Marie Avgeropoulos",Daniel Benmayor,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Melbarken, Saban Films, Cowtown Cinema Ventures, Temple Hill Entertainment, Freerunning, Senator Film",http://www.unlimited-movie.com/
Bāhubali: The Beginning,159,Telugu,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",2015,"Action, Adventure, Fantasy","kingdom, medieval india, ancient india, bilingual","Anushka Shetty, Tamannaah Bhatia, Ramya Krishnan, Rana Daggubati, Prabhas",S. S. Rajamouli,"Netflix, Netflix basic with Ads ","Apple TV, Google Play Movies, YouTube ","Apple TV, Google Play Movies, YouTube ",Arka Media Works,http://baahubali.com
The Walk,123,English,The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974.,2015,"History, Drama, Adventure","new york city, skyscraper, 1970s, biography, based on true story, tightrope, planning, world trade center, trespass","James Badge Dale, Clément Sibony, Charlotte Le Bon, Ben Kingsley, Joseph Gordon-Levitt",Robert Zemeckis,Starz Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","TriStar Pictures, LStar Capital, ImageMovers",http://www.sonypictures.com/movies/thewalk/
Bone Tomahawk,133,English,"During a shootout in a saloon, Sheriff Hunt injures a suspicious stranger. The doctor's assistant, wife of the local foreman, tends to him in prison. That night, the town is attacked and they both disappear—only the arrow of a cannibal tribe is found. Hunt and a few of his men go in search of the prisoner and the foreman's wife.",2015,"Western, Horror, Drama","rescue, sheriff, prisoner, ambush, poison, redemption, wilderness, gore, tribe, native american, rifle, murder, decapitation, drifter, scalping, cannibal, captive, neo-western, civil war veteran, burial ground, cave dwellers, horror western, brutal violence","Patrick Wilson, Kurt Russell, Richard Jenkins, Lili Simmons, Matthew Fox",S. Craig Zahler,"Hulu, Hoopla ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Caliber Media Company, The Fyzz, Realmbuilders Productions, Twilight Riders, The Jokers Films, Platinum Platypus",http://www.thefyzz.com/project/bone-tomahawk
Furious 7,137,English,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,2015,"Action, Thriller, Crime","car race, speed, street race, revenge, race, muscle car","Paul Walker, Jordana Brewster, Michelle Rodriguez, Vin Diesel, Jason Statham",James Wan,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Original Film, One Race, Universal Pictures",https://www.thefastsaga.com/fast-saga/ff7
Fifty Shades of Grey,125,English,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",2015,"Drama, Romance, Thriller","bad smell, based on novel or book, eroticism, perversion, spanking, billionaire, rich, bdsm, woman director","Eloise Mumford, Dakota Johnson, Jamie Dornan, Victor Rasuk, Jennifer Ehle",Sam Taylor-Johnson,"Max, Max Amazon Channel, Cinemax Amazon Channel, Cinemax Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Focus Features, Michael De Luca Productions, Trigger Street Productions",https://www.facebook.com/fiftyshadesofgreymovie
The Age of Adaline,112,English,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",2015,"Romance, Fantasy, Drama","immortality, san francisco, california, love, forever","Kathy Baker, Ellen Burstyn, Michiel Huisman, Harrison Ford, Blake Lively",Lee Toland Krieger,Peacock Premium ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Lakeshore Entertainment, Sidney Kimmel Entertainment, Lionsgate",http://theageofadalinemovie.com
Daddy's Home,96,English,"The story of a mild-mannered radio executive who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids.",2015,Comedy,"father, family","Mark Wahlberg, Scarlett Estevez, Linda Cardellini, Will Ferrell, Thomas Haden Church",Sean Anders,Urban Movie Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Paramount, Gary Sanchez Productions, Red Granite Pictures",http://daddyshomemovie.tumblr.com/
Creed,133,English,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",2015,"Action, Drama","underdog, mexico, sports, mentor, trainer, cancer, spin off, underground fighting, boxing trainer, motivational speaker, boxing, legacy, boxing manager, boxing champion, famous brand, famous actor","Phylicia Rashād, Sylvester Stallone, Tessa Thompson, Andre Ward, Michael B. Jordan",Ryan Coogler,Peacock Premium ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Metro-Goldwyn-Mayer, New Line Cinema, Chartoff-Winkler Productions",https://www.mgm.com/movies/creed
Shaun the Sheep Movie,85,English,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",2015,"Family, Animation, Comedy, Adventure","sheep, amnesia, countryside, stop motion, memory loss, hospital, best friend, dog, disguise, farmer, hospitalization, claymation, hairstylist, sheep farm, plasticine","Rich Webber, Kate Harbour, Omid Djalili, Justin Fletcher, John Sparkes","Richard Starzak, Mark Burton","fuboTV, Peacock Premium ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Aardman, Anton Capital Entertainment, StudioCanal",http://www.shaunthesheep.com/
The Martian,141,English,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",2015,"Drama, Adventure, Science Fiction","spacecraft, planet mars, based on novel or book, nasa, isolation, botanist, alone, survival, space, engineering, stranded, astronaut, struggle for survival, duringcreditsstinger, deep space, potatoes, 2030s","Jessica Chastain, Michael Peña, Matt Damon, Kristen Wiig, Jeff Daniels",Ridley Scott,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Scott Free Productions, Genre Films, TSG Entertainment, 20th Century Fox",https://www.20thcenturystudios.com/movies/the-martian
Ex Machina,108,English,"Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",2015,"Drama, Science Fiction","android, dancing, friendship, distrust, artificial intelligence (a.i.), isolation, technology, manipulation, deception, norway, laboratory, robot, power outage, surveillance camera, consciousness, existentialism, lockdown, philosophical, turing test, cybernetics, gynoid, female cyborg, human android relationship","Alicia Vikander, Domhnall Gleeson, Sonoya Mizuno, Corey Johnson, Oscar Isaac",Alex Garland,"Max, Max Amazon Channel, Cinemax Amazon Channel, Cinemax Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","DNA Films, Film4 Productions, IAC Films, Scott Rudin Productions",http://exmachina-movie.com/
Mission: Impossible - Rogue Nation,131,English,"Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF.",2015,"Action, Adventure","mission, london, england, spy, morocco, villain, austria, europe, sequel, conspiracy, vienna, austria, vienna opera","Ving Rhames, Simon Pegg, Jeremy Renner, Tom Cruise, Rebecca Ferguson",Christopher McQuarrie,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Paramount, Bad Robot, Odin, Skydance Media",Unknown
Survivor,96,English,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit.",2015,"Action, Crime, Mystery, Thriller","new year's eve, showdown, embassy, hand grenade, truck, laboratory, on the run, orphan, terrorism, death, microscope, watchmaker, hazmat suit","Dylan McDermott, Angela Bassett, Robert Forster, Pierce Brosnan, Milla Jovovich",James McTeigue,"Amazon Prime Video, fuboTV ","Apple TV, Amazon Video, Microsoft Store ","Apple TV, Amazon Video, Microsoft Store ","Survivor Productions, Nu Image, Winkler Films, Millennium Media",http://survivormovie.com/
Sicario,122,English,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,2015,"Action, Crime, Thriller","cia, mexico, bomb, fbi, smoking, texas, border, murder, dirty cop, football (soccer), drugs, night vision, death of daughter, tunnel, el paso, moral dilemma, neo-noir, death of wife, mexican cartel, secret tunnel","Emily Blunt, Benicio del Toro, Victor Garber, Jon Bernthal, Josh Brolin",Denis Villeneuve,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Thunder Road, Black Label Media, Lionsgate, Emperor Motion Pictures, Redrum",https://www.lionsgate.com/movies/sicario
The Student,50,Dutch,"Lana, a teacher in high school, does not know what to do about Benny, a new student, who is an aggressive yet coldblooded alfa male. Benny intimidates her and she tries to escape his dark magnetism.",2015,Drama,teacher student relationship,"Thijs Boermans, Halina Reijn",Rutger Veenstra,,,,BIND,Unknown
A Delicious Flight,97,Korean,"An innocent actress runs away from the scandal with an idol, the impudent idol that ruined her career, a passionate manager who is devoted to her and his ex-girlfriend who is now a sexy stewardess. These four that should never be together run into each other in an airplane. No one can run away and the most cheeky and erotic things happen here.",2015,Romance,softcore,"Baek In-Kwon, Son Woo-hyuk, Jeong Yoo-jin, Jeon Hyeon-soo, Shin Yu-ju",Choi Sang-hoon,,,,,Unknown
